"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"2425","null","learn","18:37:27","2","2","2","learn","2","2","[0, 1, 2]","0","0","setsize","99","prac","0","0","0","0","5","",""
"1248","null","learn","18:37:27","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","1","0","1","5","",""
"null","null","learn","18:37:27","1","1","1","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","0","999","0","5","",""
"1394","null","learn","18:37:27","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","0","1","0","5","",""
"1292","null","learn","18:37:27","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsize","99","prac","0","0","1","0","5","",""
"1137","null","learn","18:37:27","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","0","2","0","5","",""
"984","null","learn","18:37:27","2","2","2","learn","2","2","[0, 1, 2]","0","0","setsize","99","prac","0","0","0","0","5","",""
"592","null","learn","18:37:27","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","1","0","1","5","",""
"801","null","learn","18:37:27","1","1","1","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","0","2","0","5","",""
"1128","null","learn","18:37:27","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","0","1","0","5","",""
"827","null","learn","18:37:27","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsize","99","prac","0","0","0","0","5","",""
"1395","null","learn","18:37:27","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","0","2","0","5","",""
"761","null","learn","18:37:27","2","2","2","learn","2","2","[0, 1, 2]","0","0","setsize","99","prac","0","1","2","1","5","",""
"805","null","learn","18:37:27","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","0","1","0","5","",""
"1082","null","learn","18:37:27","1","1","1","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","0","1","0","5","",""
"626","null","learn","18:37:27","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","0","1","0","5","",""
"510","null","learn","18:37:27","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsize","99","prac","0","1","2","1","5","",""
"1035","null","learn","18:37:27","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","0","1","0","5","",""
"546","null","learn","18:37:27","2","2","2","learn","2","2","[0, 1, 2]","0","0","setsize","99","prac","0","1","2","1","5","",""
"369","null","learn","18:37:27","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","0","2","0","5","",""
