"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"null","null","learn","10:35:01","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","999","0","4","",""
"2491","null","learn","10:35:01","2","2","2","learn","2","2","[0, 1, 2]","1","0","setsize","99","prac","0","0","1","0","4","",""
"1173","null","learn","10:35:01","0","0","0","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","0","2","0","4","",""
"1175","null","learn","10:35:01","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","0","1","0","4","",""
"982","null","learn","10:35:01","0","0","0","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","0","1","0","4","",""
"1209","null","learn","10:35:01","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","0","1","0","4","",""
"949","null","learn","10:35:01","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","1","0","4","",""
"1272","null","learn","10:35:01","2","2","2","learn","2","2","[0, 1, 2]","1","0","setsize","99","prac","0","0","1","0","4","",""
"876","null","learn","10:35:01","0","0","0","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","0","1","0","4","",""
"1101","null","learn","10:35:01","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","1","0","1","4","",""
"1361","null","learn","10:35:01","0","0","0","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","0","2","0","4","",""
"1408","null","learn","10:35:01","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","1","2","1","4","",""
"1173","null","learn","10:35:01","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","1","0","4","",""
"1345","null","learn","10:35:01","2","2","2","learn","2","2","[0, 1, 2]","1","0","setsize","99","prac","0","1","2","1","4","",""
"1607","null","learn","10:35:01","0","0","0","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","0","1","0","4","",""
"1153","null","learn","10:35:01","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","1","0","1","4","",""
"1132","null","learn","10:35:01","0","0","0","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","0","1","0","4","",""
"1649","null","learn","10:35:01","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","1","2","1","4","",""
"1256","null","learn","10:35:01","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","2","0","1","4","",""
"673","null","learn","10:35:01","2","2","2","learn","2","2","[0, 1, 2]","1","0","setsize","99","prac","0","3","2","1","4","",""
