"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"1032","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","1","0","1","3","",""
"1953","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","0","1","0","3","",""
"927","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","0","1","0","3","",""
"1161","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","1","0","1","3","",""
"673","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsize","99","prac","0","2","2","1","3","",""
"440","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","0","2","0","3","",""
"664","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","1","0","1","3","",""
"1805","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","2","0","1","3","",""
"484","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","3","2","1","3","",""
"455","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","4","0","1","3","",""
"391","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsize","99","prac","0","0","0","0","3","",""
"735","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","0","2","0","3","",""
"806","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","1","0","1","3","",""
"2105","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","2","0","1","3","",""
"1026","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","3","2","1","3","",""
"549","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","4","0","1","3","",""
"1065","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsize","99","prac","0","5","2","1","3","",""
"1193","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","6","0","1","3","",""
"1937","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","0","0","setsizechunk","3S","food","1","0","1","0","3","",""
"1345","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","1","0","setsizechunk","3S","food","1","0","1","0","3","",""
"810","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsizechunk","3S","food","1","0","1","0","3","",""
"872","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsizechunk","3S","food","1","1","0","1","3","",""
"1461","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsizechunk","3S","food","1","2","2","1","3","",""
"1372","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsizechunk","3S","food","1","3","0","1","3","",""
"2717","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","6","2","setsizechunk","3S","food","1","4","2","1","3","",""
"561","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","7","2","setsizechunk","3S","food","1","5","0","1","3","",""
"493","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","8","2","setsizechunk","3S","food","1","6","0","1","3","",""
"454","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","9","3","setsizechunk","3S","food","1","7","2","1","3","",""
"716","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","10","3","setsizechunk","3S","food","1","8","0","1","3","",""
"666","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","11","3","setsizechunk","3S","food","1","9","0","1","3","",""
"512","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","12","4","setsizechunk","3S","food","1","10","0","1","3","",""
"538","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","13","4","setsizechunk","3S","food","1","11","2","1","3","",""
"577","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","14","4","setsizechunk","3S","food","1","12","0","1","3","",""
"470","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","15","5","setsizechunk","3S","food","1","13","0","1","3","",""
"511","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","16","5","setsizechunk","3S","food","1","14","2","1","3","",""
"657","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","17","5","setsizechunk","3S","food","1","15","0","1","3","",""
"556","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","18","6","setsizechunk","3S","food","1","16","2","1","3","",""
"519","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","19","6","setsizechunk","3S","food","1","17","0","1","3","",""
"592","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","20","6","setsizechunk","3S","food","1","18","0","1","3","",""
"533","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","21","7","setsizechunk","3S","food","1","19","2","1","3","",""
"511","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","22","7","setsizechunk","3S","food","1","20","0","1","3","",""
"651","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","23","7","setsizechunk","3S","food","1","21","0","1","3","",""
"570","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","24","8","setsizechunk","3S","food","1","22","0","1","3","",""
"455","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","25","8","setsizechunk","3S","food","1","23","2","1","3","",""
"503","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","26","8","setsizechunk","3S","food","1","24","0","1","3","",""
"850","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","27","9","setsizechunk","3S","food","1","25","2","1","3","",""
"393","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","28","9","setsizechunk","3S","food","1","26","0","1","3","",""
"415","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","29","9","setsizechunk","3S","food","1","27","0","1","3","",""
"1015","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","30","10","setsizechunk","3S","food","1","28","2","1","3","",""
"1756","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","31","10","setsizechunk","3S","food","1","29","0","1","3","",""
"383","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","32","10","setsizechunk","3S","food","1","30","0","1","3","",""
"626","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","33","11","setsizechunk","3S","food","1","31","2","1","3","",""
"392","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","34","11","setsizechunk","3S","food","1","32","0","1","3","",""
"398","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","35","11","setsizechunk","3S","food","1","33","0","1","3","",""
"777","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","36","12","setsizechunk","3S","food","1","34","2","1","3","",""
"569","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","37","12","setsizechunk","3S","food","1","35","0","1","3","",""
"600","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","38","12","setsizechunk","3S","food","1","36","0","1","3","",""
"530","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","39","13","setsizechunk","3S","food","1","37","0","1","3","",""
"409","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","40","13","setsizechunk","3S","food","1","38","0","1","3","",""
"401","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","41","13","setsizechunk","3S","food","1","39","2","1","3","",""
"610","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","42","14","setsizechunk","3S","food","1","40","2","1","3","",""
"471","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","43","14","setsizechunk","3S","food","1","41","0","1","3","",""
"374","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","44","14","setsizechunk","3S","food","1","42","0","1","3","",""
"778","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","45","15","setsizechunk","3S","food","1","43","2","1","3","",""
"99","null","memory","12:28:35","2","钥匙","12","memory","99","","[]","90","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","0","峡谷","15","memory","99","","[]","91","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","9","清新","14","memory","99","","[]","92","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","深邃","8","memory","99","","[]","93","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","明亮","3","memory","99","","[]","94","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","笔墨","18","memory","99","","[]","95","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","雨伞","13","memory","99","","[]","96","0","setsizechunk","3S","food","1","","99","99","3","",""
