"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"1645","null","learn","15:58:38","0","0","0","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","1","0","4","",""
"930","null","learn","15:58:38","2","2","2","learn","2","2","[0, 1, 2]","1","0","setsize","99","prac","0","1","2","1","4","",""
"697","null","learn","15:58:38","1","1","1","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","2","0","1","4","",""
"798","null","learn","15:58:38","2","2","2","learn","2","2","[0, 1, 2]","3","1","setsize","99","prac","0","3","2","1","4","",""
"782","null","learn","15:58:38","1","1","1","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","0","1","0","4","",""
"1058","null","learn","15:58:38","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","0","1","0","4","",""
"2678","null","learn","15:58:38","0","0","0","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","2","0","4","",""
"876","null","learn","15:58:38","2","2","2","learn","2","2","[0, 1, 2]","1","0","setsize","99","prac","0","1","2","1","4","",""
"958","null","learn","15:58:38","1","1","1","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","2","0","1","4","",""
"824","null","learn","15:58:38","2","2","2","learn","2","2","[0, 1, 2]","3","1","setsize","99","prac","0","3","2","1","4","",""
"1881","null","learn","15:58:38","1","1","1","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","4","0","1","4","",""
"757","null","learn","15:58:38","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","0","1","0","4","",""
"1832","null","learn","15:58:38","0","0","0","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","1","0","4","",""
"741","null","learn","15:58:38","2","2","2","learn","2","2","[0, 1, 2]","1","0","setsize","99","prac","0","1","2","1","4","",""
"837","null","learn","15:58:38","1","1","1","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","2","0","1","4","",""
"934","null","learn","15:58:38","2","2","2","learn","2","2","[0, 1, 2]","3","1","setsize","99","prac","0","3","2","1","4","",""
"850","null","learn","15:58:38","1","1","1","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","4","0","1","4","",""
"2338","null","learn","15:58:38","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","0","2","0","4","",""
