"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"null","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","999","0","4","",""
"1296","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","1","0","1","4","",""
"897","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","0","1","0","4","",""
"1098","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","0","2","0","4","",""
"1209","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","0","2","0","4","",""
"1654","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","0","0","0","4","",""
"1028","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","1","0","4","",""
"460","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","1","0","1","4","",""
"1348","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","0","1","0","4","",""
"2024","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","0","2","0","4","",""
"1524","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","1","0","1","4","",""
"837","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","0","1","0","4","",""
"1218","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","2","0","4","",""
"666","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","1","0","1","4","",""
"870","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","2","2","1","4","",""
"686","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","0","1","0","4","",""
"711","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","1","0","1","4","",""
"1075","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","2","2","1","4","",""
"2048","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","3","0","1","4","",""
"810","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","4","0","1","4","",""
"473","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","5","2","1","4","",""
"488","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","6","0","1","4","",""
"383","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","7","0","1","4","",""
"392","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","8","2","1","4","",""
"1139","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","0","0","setsizechunk","3S","furniture","1","9","0","1","4","",""
"913","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","1","0","setsizechunk","3S","furniture","1","0","1","0","4","",""
"332","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsizechunk","3S","furniture","1","0","1","0","4","",""
"1405","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsizechunk","3S","furniture","1","0","2","0","4","",""
"643","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","4","1","setsizechunk","3S","furniture","1","1","0","1","4","",""
"1005","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsizechunk","3S","furniture","1","0","1","0","4","",""
"596","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","6","2","setsizechunk","3S","furniture","1","0","1","0","4","",""
"422","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","7","2","setsizechunk","3S","furniture","1","1","0","1","4","",""
"362","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","8","2","setsizechunk","3S","furniture","1","0","0","0","4","",""
"1152","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","9","3","setsizechunk","3S","furniture","1","1","2","1","4","",""
"925","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","10","3","setsizechunk","3S","furniture","1","2","0","1","4","",""
"1224","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","11","3","setsizechunk","3S","furniture","1","0","2","0","4","",""
"818","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","12","4","setsizechunk","3S","furniture","1","0","1","0","4","",""
"862","null","learn","16:32:00","2","2","2","learn","2","2","[0, 1, 2]","13","4","setsizechunk","3S","furniture","1","0","0","0","4","",""
