"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"405","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","1","0","2","",""
"386","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","1","0","setsize","99","prac","0","1","2","1","2","",""
"329","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","2","0","1","2","",""
"313","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","0","1","0","2","",""
"425","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsize","99","prac","0","1","2","1","2","",""
"551","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","0","1","0","2","",""
"564","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","1","0","1","2","",""
"325","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","1","0","setsize","99","prac","0","2","2","1","2","",""
"275","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","0","1","0","2","",""
"706","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","1","0","1","2","",""
"456","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsize","99","prac","0","2","2","1","2","",""
"612","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","3","0","1","2","",""
"355","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsizechunk","3S","sports","1","4","0","1","2","",""
"292","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsizechunk","3S","sports","1","0","1","0","2","",""
"553","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsizechunk","3S","sports","1","1","2","1","2","",""
"466","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","3","1","setsizechunk","3S","sports","1","2","0","1","2","",""
"550","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsizechunk","3S","sports","1","3","2","1","2","",""
"480","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsizechunk","3S","sports","1","4","0","1","2","",""
"707","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","6","2","setsizechunk","3S","sports","1","5","2","1","2","",""
"465","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","7","2","setsizechunk","3S","sports","1","6","0","1","2","",""
"335","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","8","2","setsizechunk","3S","sports","1","7","0","1","2","",""
"612","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","9","3","setsizechunk","3S","sports","1","8","0","1","2","",""
"317","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","10","3","setsizechunk","3S","sports","1","9","2","1","2","",""
"410","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","11","3","setsizechunk","3S","sports","1","10","0","1","2","",""
"398","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","12","4","setsizechunk","3S","sports","1","0","2","0","2","",""
"486","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","13","4","setsizechunk","3S","sports","1","1","2","1","2","",""
"392","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","14","4","setsizechunk","3S","sports","1","2","0","1","2","",""
"333","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","15","5","setsizechunk","3S","sports","1","3","0","1","2","",""
"349","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","16","5","setsizechunk","3S","sports","1","4","2","1","2","",""
"408","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","17","5","setsizechunk","3S","sports","1","5","0","1","2","",""
"568","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","18","6","setsizechunk","3S","sports","1","6","0","1","2","",""
"470","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","19","6","setsizechunk","3S","sports","1","7","0","1","2","",""
"396","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","20","6","setsizechunk","3S","sports","1","8","2","1","2","",""
"394","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","21","7","setsizechunk","3S","sports","1","9","0","1","2","",""
"531","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","22","7","setsizechunk","3S","sports","1","10","0","1","2","",""
"317","null","learn","17:28:12","2","2","2","learn","2","2","[0, 1, 2]","23","7","setsizechunk","3S","sports","1","11","2","1","2","",""
"427","null","learn","17:28:12","1","1","1","learn","0","0","[0, 1, 2]","24","8","setsizechunk","3S","sports","1","12","0","1","2","",""
"397","null","learn","17:28:12","0","0","0","learn","0","0","[0, 1, 2]","25","8","setsizechunk","3S","sports","1","13","0","1","2","",""
