"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"1474","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","0","2","0","3","",""
"856","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","0","1","0","3","",""
"1052","null","learn","18:12:06","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","0","0","0","3","",""
"977","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","1","0","1","3","",""
"1977","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","2","0","1","3","",""
"1496","null","learn","18:12:06","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","0","1","0","3","",""
"596","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","1","0","1","3","",""
"907","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","0","2","0","3","",""
"761","null","learn","18:12:06","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","0","1","0","3","",""
"745","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","1","0","1","3","",""
"551","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","2","0","1","3","",""
"971","null","learn","18:12:06","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","3","2","1","3","",""
"312","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","4","0","1","3","",""
"537","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","5","0","1","3","",""
"496","null","learn","18:12:06","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","6","2","1","3","",""
"899","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","7","0","1","3","",""
