"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac"
"1280","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","99","prac","0","1","0","1","1"
"1009","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","2","0","1","1"
"478","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","99","prac","0","3","2","1","1"
"1334","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","3","1","setsize","99","prac","0","4","0","1","1"
"1521","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","5","0","1","1"
"1416","null","learn","18:04:19","2","2","2","learn","2","2","[0, 1, 2]","5","1","setsize","99","prac","0","6","2","1","1"
"1459","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","0","0","setsize","10S3A","sports","1","0","0","0","1"
"2425","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","1","0","setsize","10S3A","sports","1","0","1","0","1"
"264","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","2","0","setsize","10S3A","sports","1","0","2","0","1"
"1659","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","3","0","setsize","10S3A","sports","1","0","2","0","1"
"162","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","4","0","setsize","10S3A","sports","1","0","1","0","1"
"288","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","5","0","setsize","10S3A","sports","1","1","0","1","1"
"2039","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","6","0","setsize","10S3A","sports","1","0","0","0","1"
"548","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","7","0","setsize","10S3A","sports","1","1","1","1","1"
"1036","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","8","0","setsize","10S3A","sports","1","2","2","1","1"
"1090","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","9","0","setsize","10S3A","sports","1","3","1","1","1"
"438","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","10","1","setsize","10S3A","sports","1","0","1","0","1"
"204","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","11","1","setsize","10S3A","sports","1","0","2","0","1"
"237","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","12","1","setsize","10S3A","sports","1","0","0","0","1"
"728","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","13","1","setsize","10S3A","sports","1","0","1","0","1"
"164","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","14","1","setsize","10S3A","sports","1","0","0","0","1"
"267","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","15","1","setsize","10S3A","sports","1","1","2","1","1"
"1519","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","16","1","setsize","10S3A","sports","1","2","0","1","1"
"1037","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","17","1","setsize","10S3A","sports","1","0","1","0","1"
"1455","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","18","1","setsize","10S3A","sports","1","0","1","0","1"
"264","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","19","1","setsize","10S3A","sports","1","0","2","0","1"
"990","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","20","2","setsize","10S3A","sports","1","0","1","0","1"
"752","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","21","2","setsize","10S3A","sports","1","1","2","1","1"
"1027","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","22","2","setsize","10S3A","sports","1","2","0","1","1"
"986","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","23","2","setsize","10S3A","sports","1","0","1","0","1"
"830","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","24","2","setsize","10S3A","sports","1","0","0","0","1"
"1054","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","25","2","setsize","10S3A","sports","1","0","2","0","1"
"1199","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","26","2","setsize","10S3A","sports","1","0","0","0","1"
"667","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","27","2","setsize","10S3A","sports","1","1","0","1","1"
"648","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","28","2","setsize","10S3A","sports","1","2","0","1","1"
"673","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","29","2","setsize","10S3A","sports","1","3","1","1","1"
"429","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","30","3","setsize","10S3A","sports","1","4","1","1","1"
"586","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","31","3","setsize","10S3A","sports","1","0","2","0","1"
"816","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","32","3","setsize","10S3A","sports","1","1","2","1","1"
"847","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","33","3","setsize","10S3A","sports","1","0","1","0","1"
"1538","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","34","3","setsize","10S3A","sports","1","1","0","1","1"
"583","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","35","3","setsize","10S3A","sports","1","2","0","1","1"
