"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac"
"1571","null","learn","下午6:04:31","2","2","2","learn","2","2","[0, 1, 2]","0","0","setsize","99","prac","0","1","2","1","2"
"414","null","learn","下午6:04:31","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","2","0","1","2"
"342","null","learn","下午6:04:31","1","1","1","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","3","0","1","2"
"1690","null","learn","下午6:04:31","2","2","2","learn","2","2","[0, 1, 2]","3","1","setsize","99","prac","0","0","0","0","2"
"793","null","learn","下午6:04:31","1","1","1","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","1","0","1","2"
"1192","null","learn","下午6:04:31","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","0","2","0","2"
"1908","null","learn","下午6:04:31","2","2","2","learn","2","2","[0, 1, 2]","0","0","setsize","99","prac","0","1","2","1","2"
"487","null","learn","下午6:04:31","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","99","prac","0","2","0","1","2"
"451","null","learn","下午6:04:31","1","1","1","learn","0","0","[0, 1, 2]","2","0","setsize","99","prac","0","3","0","1","2"
"728","null","learn","下午6:04:31","2","2","2","learn","2","2","[0, 1, 2]","3","1","setsize","99","prac","0","4","2","1","2"
"540","null","learn","下午6:04:31","1","1","1","learn","0","0","[0, 1, 2]","4","1","setsize","99","prac","0","5","0","1","2"
"1311","null","learn","下午6:04:31","0","0","0","learn","0","0","[0, 1, 2]","5","1","setsize","99","prac","0","6","0","1","2"
"null","null","learn","下午6:04:31","1","1","1","learn","0","0","[0, 1, 2]","0","0","setsize","3S3A","food","1","0","999","0","2"
"921","null","learn","下午6:04:31","0","0","0","learn","0","0","[0, 1, 2]","1","0","setsize","3S3A","food","1","0","2","0","2"
"null","null","learn","下午6:04:31","2","2","2","learn","2","2","[0, 1, 2]","2","0","setsize","3S3A","food","1","0","999","0","2"
"973","null","learn","下午6:04:31","0","0","0","learn","0","0","[0, 1, 2]","3","1","setsize","3S3A","food","1","0","2","0","2"
"1456","null","learn","下午6:04:31","2","2","2","learn","2","2","[0, 1, 2]","4","1","setsize","3S3A","food","1","0","1","0","2"
"253","null","learn","下午6:04:31","1","1","1","learn","0","0","[0, 1, 2]","5","1","setsize","3S3A","food","1","1","0","1","2"
"718","null","learn","下午6:04:31","1","1","1","learn","0","0","[0, 1, 2]","6","2","setsize","3S3A","food","1","0","1","0","2"
"237","null","learn","下午6:04:31","0","0","0","learn","0","0","[0, 1, 2]","7","2","setsize","3S3A","food","1","1","0","1","2"
"627","null","learn","下午6:04:31","2","2","2","learn","2","2","[0, 1, 2]","8","2","setsize","3S3A","food","1","0","1","0","2"
